CustomerID,Frequency
CID274,57432
CID849,39857
CID207,68593
CID928,28765
CID462,57298
CID639,49637
CID813,75324
CID123,40219
CID346,63847
CID715,47953
CID570,64284
CID902,52874
CID365,37192
CID681,49631
CID437,58734
CID653,42815
CID814,51694
CID290,67243
CID591,36592
CID184,43987
CID782,60748
CID972,52739
CID641,59347
CID310,49813
CID836,69248
CID204,43598
CID379,61934
CID694,54728
CID509,68345
CID408,51928
CID792,40856
CID745,65728
CID143,52794
CID287,64982
CID950,49837
CID165,56293
CID285,40478
CID891,74839
CID602,65347
CID530,71293
CID305,43982
CID741,69273
CID694,50487
CID924,38792
CID827,64894
CID268,52847
CID729,63157
CID152,40975
CID641,68249
CID826,49375
CID607,74938
CID940,59274
CID839,50863
CID619,39754
CID193,54873
CID725,72684
CID871,61492
CID231,41872
CID458,52947
CID680,46938
CID813,61728
CID357,49847
CID864,73829
CID275,64285
CID693,51839
CID206,69482
CID938,40572
CID324,52947
CID853,65297
CID786,46982
CID974,61728
CID229,51647
CID421,72684
CID583,59482
CID720,65893
CID189,42783
CID964,50839
CID525,63892
CID137,41728
CID349,72469
CID678,48739
CID903,63924
CID712,72538
CID444,59628
CID899,45827
CID167,75234
CID681,67892
CID318,52673
CID637,64028
CID754,47483
CID906,59528
CID382,61728
CID512,73849
CID714,60729
CID396,63829
CID508,45847
CID631,53284
CID843,72746
CID952,49834
CID104,64892
CID367,59548
CID687,43957
CID912,56947
CID153,41784
CID827,63928
